word,definition,pos,examples
felicitous,"Well chosen or suited to the circumstances",ADJ,"Her felicitous remarks lightened the mood."
ebullient,"extremely lively, enthusiastic",ADJ,She was ebullient after receiving the good news.
abide,"To accept, act in accordance with, or remain stable and endure through time.",VERB,"Her deep love for classical music will abide forever."
abase,"to humiliate, degrade",VERB,"After being overthrown and abased, the deposed leader offered to bow down to his conqueror."
abeyance,"temporary suppression or supension",NOUN,"Once the famine was over, the food rationing dictated by the government was put in abeyance."
abnegation,denial of comfort to oneself,NOUN,"The holy man slept on the floor, took only cold showers, and generally followed other practices of abnegation."
abstruse,hard to comprehend,ADJ,"Everyone else in the class understood geometry easily, but John found the subject abstruse."
adumbrate,to sketch out in a vague way,VERB,"The coach adumbrated a game plan, but none of the players knew precisely what to do."
aeipathy,An enduring and consuming passion,NOUN,His aeipathy for music led him to tour the world.
allegory,"A story, poem, or picture that can be interpreted to reveal a hidden meaning",NOUN,Animal Farm by George Orwell is an allegory that uses animals to represent political figures and events.
allusion,"An indirect reference to a person, place, thing, or idea in literature",NOUN,"The writer used an allusion to Shakespeare's ""Hamlet"" in her novel."
amatory,Intended to stir up romantic feelings,ADJ,He wrote an amatory poem for her.
ameliorate,to improve,VERB,A solution to ameliorate the negative impact of these areas is needed.
anachronism,something that doesn't fit its time period,NOUN,These days the habit of introducing yourself to a new neighbor with a welcome gift has become an anachronism.
analepsis,A literary device for flashback storytelling.,NOUN,The story used analepsis to reveal past events.
antediluvian,ancient,ADJ,The antediluvian man still believed that Eisenhower was president of the United States and that hot dogs cost a nickel.
anthropomorphous,Looking or acting like a human.,ADJ,The cartoon featured an anthropomorphous dog detective.
antilogy,Contradiction in words or ideas,NOUN,His speech was full of antilogy.
apostasy,the abandonment or renunciation of a religious or political belief,NOUN,"Acts of apostasy, or formally quitting the church as Gala did, are on the rise in Poland."
arcane,"obscure, secret, known only by a few",ADJ,The professor is an expert in arcane Lithuanian literature.; The arcane language was rarely seen before the discovery of the cave writings.
archetypal,the most representative or typical example of something,ADJ,"Some believe George Washington, with his flowing white hair and commanding stature, was the archetypal politician."
athwart,Going or lying across,ADV,The cat lay athwart the doorway.
augury,prophecy; prediction of events,NOUN,There are those who view the virus as an augury of the world coming to an end.
avarice,excessive greed,NOUN,The banker's avarice led him to amass a tremendous personal fortune.
axiom,"a statement or proposition which is regarded as being established, accepted, or self-evidently true",NOUN,"A fundamental axiom of economics is that when two individuals or countries trade, both are better off"
beguile,"to trick, deceive",VERB,The thief beguiled his partners into surrendering all of their money to him.
bilk,"cheat, defraud",VERB,The lawyer discovered that this firm had bilked several clients out of thousands of dollars.
bloviate,To speak pompously,VERB,Jerry tended to bloviate about his financial acumen.
bonhomie,good-natured easy friendliness,NOUN,The bonhomie ended when a hostile argument broke out between neighbors.
catechize,To teach by asking questions,VERB,The teacher catechized the students.
cavil,To make petty or unnecessary objections,VERB,She tended to cavil about minor details instead of focusing on the main issue.
censorious,severely critical of others,ADJ,"modest, charitable in his judgments, never censorious, Jim carried tolerance almost too far"
characterization,The process by which the personality of a fictitious character is revealed,NOUN,The author used detailed descriptions and dialogue to enhance the characterization of the protagonist.
chicanery,"the use of trickery to achieve a political, financial, or legal purpose",NOUN,People don't trust you because of your chicanery.
clandestine,secret,ADJ,"At the end of Friday's episode, the traitors had been given the opportunity to unmask the secret traitor if they completed a clandestine task."
coalesce,to fuse into a whole,VERB,Gordon's ensemble of thrift-shop garments coalesced into a surprisingly handsome outfit.
confluence,a gathering together,NOUN,A confluence of different factors made tonight the perfect night.
consonant,in harmony,ADJ,The singers' consonant voices were beautiful.
contemporaneous,existing during the same time,ADJ,"Though her novels do not feature the themes of Romanticism, Jane Austen's work was contemporaneous with that of Wordsworth and Byron."
contravene,"to contradict, oppose, violate",VERB,Edwidge contravened his landlady's rule against overnight guests.
contrite,"penitent, eager to be forgiven ",ADJ,Blake's contrite behavior made it impossible to stay angry at him.
copacetic,In excellent order,ADJ,"Palmer apologized and thought everything was copacetic between them � until a few days later, in her trailer, a co-star gave her a different read on the situation."
cosset,to pamper; treat with great care,VERB,"From buying expensive toys to boxing vegetable-free lunches, the mother would cosset to her child's every whim."
coterie,an intimate group of persons with a similar purpose,NOUN,Darroch also threw a lavish affair last year for the royal wedding of Prince Harry and Meghan Markle that brought a coterie of the administration to the British Embassy.
craven,lacking the least bit of courage: contemptibly fainthearted,ADJ,a craven refusal to deliver the unwelcome news personally.
crescive,Growing or increasing gradually,ADJ,The crescive trend showed improvement over time.
cupidity,"greed, strong desire",NOUN,"His cupidity made him enter the abandoned gold mine despite the obvious dangers.; The thief's cupidity made him stay too long in the bank vault, leading to his capture."
de rigueur,required by etiquette or current fashion.,ADJ,it was de rigueur for bands to grow their hair long
debase,to lower the quality or esteem of something,VERB,The large raise that he gave himself debased his motives for running the charity.
deleterious,harmful,ADJ,She experienced the deleterious effects of running a marathon without stretching her muscles enough beforehand.
delineate,"to describe, outline, shed light on",VERB,She neatly delineated her reasons for canceling the project's funding.
deliquescing,"gerund or present participle: deliquescing; (of organic matter) become liquid, typically during decomposition.; (of a solid) become liquid by absorbing moisture from the air.",VERB,"But here in C�zanne�s watercolors of the cliffs of Provence � deliquescent landscapes, rocks turned into fluid � still lies a master class for artists working in a totally transformed climate, culturally and ecologically speaking."
demonstrative,"(of a person) tending to show feelings, especially of affection, openly.",ADJ,we were a very physically demonstrative family
demur,to express doubts or objections,VERB,"Though she didn't want to go on vacation with her parents, Jess found it hard to demur their request."
deride,"to laugh at mockingly, scorn",VERB,The bullies derided the foreign student's accent.
descry,To notice or see something.,VERB,He descried a ship in the distance.
diaphanous,"light, airy, transparent",ADJ,"Sunlight poured in through the diaphanous curtains, brightening the room."
diminutive,small or miniature,ADJ,"The bullies, tall and strong, picked on the diminutive child."
disaffected,"rebellious, resentful of authority",ADJ,"Dismayed by Bobby's poor behavior, the parents sent their disaffected son to a military academy to be disciplined."
disparaître,Vanish. Cease being visible.,VERB,Il a disparu dans la nuit.
dispatch,to send off to accomplish a duty,VERB,The carpenter dispatched his assistant to fetch wood.
disseminate,to spread widely,VERB,The politician disseminated his ideas across the town before the election.
distich,A pair of similar items,NOUN,The poem has a beautiful distich.
duplicity,crafty dishonesty,NOUN,"His duplicity involved convincing his employees to let him lower their salaries and increase their stock options, and then to steal the money he saved and run the company into the ground."
ebullient,"extremely lively, enthusiastic",ADJ,She became ebullient upon receiving an acceptance letter from her first-choice college.
eclecticism,"the practice of borrowing ideas, styles, or techniques from diverse sources, creating a unique and varied approach",NOUN,"Eclecticism in art, literature, or philosophy celebrates diversity and innovation, blending multiple influences."
efface,"to wipe out, obliterate, rub away",VERB,The husband was so angry at his wife for leaving him that he effaced all evidence of her presence; he threw out pictures of her and gave away all her belongings.
efficacious,effective,ADJ,"My doctor promised me that the cold medicine was efficacious, but I'm still sniffling."
effulgence,Bright and radiant beauty,NOUN,The sunrise's effulgence amazed everyone.
effulgent,"radiant, splendorous",ADJ,"In our neighborhood, many homes are decorated with effulgent holiday lights."
emollient,soothing,ADJ,This emollient cream makes my skin very smooth.
encomium,speech or piece of writing that warmly praises someone or something; tribute,NOUN,Paula finds painting so therapeutic that she has written an encomium celebrating the art form.
enervate,"to weaken, exhaust",VERB,Writing these sentences enervates me so much that I will have to take a nap after I finish.
enigmatic,"mystifying, cryptic",ADJ,That man wearing the dark suit and dark glasses is so enigmatic that no one even knows his name.
epenthesis,Adding a sound within a word.,NOUN,"But epenthesis of a consonant is more common, especially b or p after m, and d after n."
epical,"Like a grand, heroic story",ADJ,The movie had an epical adventure.
epigram,"A short, witty statement.",NOUN,His speech started with a clever epigram.
epistolary,relating to or contained in letters,ADJ,"Some people call me ""Auntie's boy,"" because my aunt and I have such a close epistolary relationship that we write each other every day."
equanimity,"composure, steadiness of mind under stress",NOUN,"Even though he had just been fired, Mr. Simms showed great equanimity by neatly packing up his desk and wishing everyone in the office well.; The frazzled mother maintained remarkable equanimity when her toddler had an epic meltdown."
equivocate,to use expressions of double meaning in order to mislead,VERB,Sean continued to equivocate when the FBI persisted in their questioning.
ersatz,being a usually artificial and inferior substitute or imitation,ADJ,"Like everything else the restaurant served, the whipped cream on the dessert was ersatz."
erudite,learned,ADJ,My Latin teacher is such an erudite scholar that he has translated some of the most difficult and abstruse ancient poetry.
eschew,"to shun, avoid",VERB,George hates the color green so much that he eschews all green food.
esoteric,Intended for select few,ADJ,The professor only discussed esoteric subjects.
ethereal,"heavenly, exceptionally delicate or refined",ADJ,"In her flowing silk gown and lace veil, the bride looked ethereal.; The ethereal painting depicts a landscape of dreams."
euphonious,"Pleasant-sounding, melodious",ADJ,The choir's performance was euphonious and beautiful.
evanescent,"fleeting, momentary",ADJ,My joy at getting promoted was evanescent because I discovered that I would have to work much longer hours in a less friendly office.
exculpate,"to free from guilt or blame, exonerate",VERB,My discovery of the ring behind the dresser exculpated me from the charge of having stolen it.
execrable,"loathsome, detestable",ADJ,Her pudding is so execrable that it makes me sick.
exhort,"to urge, prod, spur",VERB,Henry exhorted his colleagues to join him in protesting against the university's hiring policies.
expounder,A person who explains things clearly,NOUN,The teacher was a great expounder of science.
extol,"to praise, revere",VERB,"For example, she passionately extols a program for free children�s dental services because a good smile leads to increased confidence, which statistics show can ultimately boost graduation rates."
facinorous,Extremely wicked,ADJ,The villain's facinorous deeds were infamous in the tales.
farrago,A confused mixture,NOUN,The project was a farrago of old and new methods.
fastidious,very attentive to and concerned about accuracy and detail.,ADJ,She dressed with fastidious care.
fatuous,"silly, foolish",ADJ,"He considers himself a serious poet, but in truth, he only writes fatuous limericks."
felicitous,"well chosen or suited to the circumstances; delightful, pleasing",ADJ,"While his comments were idiotic and rambling, mine were felicitous and helpful.; I spent a felicitous afternoon visiting old friends."
fervid,intensely emotional; feverish,ADJ,The candidate made a fervid speech that held the audience's attention.
floccinaucinihilipilification,The action of describing something as unimportant,NOUN,She engaged in floccinaucinihilipilification of his concerns.
fl�neur,A person who strolls aimlessly in a city,NOUN,The fl�neur enjoyed wandering through the bustling streets.
foible,Weakness,NOUN,His foible was his love for gambling.
fustian,Pompous or pretentious speech or writing,NOUN,"His speech was filled with fustian, drawing eye rolls from the audience."
garrulity,"Excessive talkativeness, especially on trivial matters",NOUN,His garrulity became evident during the lengthy and detailed story.
griffonage,A style of hasty or careless handwriting.,NOUN,Her notes were filled with messy griffonage.
halcyon,Calm and peaceful,ADJ,She longed for the halcyon days of her childhood.
heliotropic,Turning or growing towards the light (biology),ADV,"The handrails running east curled upward like heliotropic flowers reaching for the sun, and those running west fell like dried stalks."
hubris,Arrogance,NOUN,His hubris led to his downfall.
iconoclast,One who attacks common beliefs or institutions,NOUN,"Jane goes to one protest after another, but she seems to be an iconoclast rather than an activist with a progressive agenda."
imbue,to fill with something especially a strong feeling or opinion,VERB,A ruler should be imbued with a sense of responsibility for the nation.
imperturbability,Staying calm and confident,NOUN,Her imperturbability impressed everyone.
importune,harass (someone) persistently for or to do something,VERB,reporters importuned him with pointed questions
impute,"to ascribe, blame",VERB,The CEO imputed the many typos in the letter to his lazy secretary.
inchoate,"Unformed or formless, in a beginning stage",ADJ,"Her ideas for the novel were still inchoate, lacking structure or clear direction at this early stage of development."
inculcate,to frequently instill an idea or belief firmly in someone's mind,VERB,Do you feel our professors should inculcate us with their political views?
indefatigable,"incapable of defeat, failure, decay",ADJ,"Even after traveling 62 miles, the indefatigable runner kept on moving."
indigent,"very poor, impoverished",ADJ,I would rather donate money to help the indigent population than to the park sculpture fund.
indomitable,not capable of being conquered,ADJ,"To be honest, Jim, my indomitable nature means I could never take orders from anyone, and especially not from a jerk like you."
ineffable,too great or extreme to be described in words,ADJ,The view from the mountaintop was ineffable and left the hiker speechless.
ineffable,"unspeakable, incapable of being expressed through words",ADJ,It is said that the experience of playing with a dolphin is ineffable and can only be understood through direct encounter.
inexorable,incapable of being persuaded or placated,ADJ,"Although I begged for hours, Mom was inexorable and refused to let me stay out all night after the prom.; After experiencing yet another loss, the coach was inexorable in his insistence that the team train harder."
interminable,without possibility of end,ADJ,The fact that biology lectures came just before lunch made them seem interminable.
intransigent,"refusing to compromise, often on an extreme opinion",ADJ,"The intransigent child said he would have 12 scoops of ice cream, or he would bang his head against the wall until his mother fainted from fear."
inure,to become immune to unpleasant events or situations,VERB,Raising three dramatic daughters will inure you to temper tantrums.
inveterate,stubbornly established by habit,ADJ,I'm the first to admit that I'm an inveterate coffee drinker-I drink four cups a day.
invidious,"envious, obnoxious, or offensive",ADJ,"In truth, the PGA of America put Bradley in an invidious position by appointing him long before his days at the top of the game are done."
jocose,Said or done in a playful way.,ADJ,His jocose remarks made everyone laugh.
lassitude,a state of diminished energy,NOUN,"After the long race, Jack experienced a feeling of lassitude."
latent,"hidden, but capable of being exposed",ADJ,Sigmund's dream represented his latent paranoid obsession with other people's shoes.
levity,an inappropriate lack of seriousness; overly casual,NOUN,"As a student, I really liked Mrs. Walters because she was not too stern and always used levity in her lessons to make the class less formal."
lexiphanes,A person who uses pretentious words,NOUN,The critic was described as a lexiphanes for his complex reviews.
liminal,Relating to a transitional or in-between state,ADJ,The feeling of being in a liminal space between childhood and adulthood was overwhelming.
logomachy,An argument about words,NOUN,Their debate devolved into a pointless logomachy.
logophile,A lover of words,NOUN,"As a logophile, Charles cherished every book he owned."
loquacious,"talkative or chatty, especially of persons given to excess conversation",ADJ,He had neither the patience nor the tact for managing loquacious parliamentary pedants.
lucubration,"Laborious study or thought, especially at night",NOUN,His lucubration resulted in many sleepless nights but also in brilliant theories.
luminous,brightly shining,ADJ,The light of the luminous moon graced the shoulders of the beautiful maiden.
malinger,to pretend to be ill or otherwise incapacitated in order to escape duty or work,VERB,The lazy student tried to malinger when it was time to work on his essay.
manifold,"diverse, varied",ADJ,The popularity of Dante's Inferno is partly due to the fact that the work allows for manifold interpretations.
martinet,strict disciplinarian; one who rigidly follows rules,NOUN,"When I was child, I thought my father was a martinet because he was constantly ordering me around the house."
maudlin,weakly sentimental,ADJ,"Although many people enjoy romantic comedies, I usually find them maudlin and shallow."
maverick,"an independent, nonconformist person",NOUN,Andreas is a real maverick and always does things his own way.
mellifluous,Pleasing to hear,ADJ,The mellifluous voice of the singer enchanted the audience.; The mellifluous voice of the singer captivated the audience.
mendacious,"having a lying, false character",ADJ,The mendacious content of the tabloid magazines is at least entertaining.
mendacious,Dishonest or untruthful in speech or conduct ,ADJ,The mendacious politician made impossible promises.
meretricious,tastelessly showy; attractive on the surface but having in reality no value or substance,ADJ,Adding those flamboyant earrings to such a colorful skirt gives your entire outfit a meretricious effect.
meritorious,worthy of esteem or reward,ADJ,Manfred was given the congressional medal of honor for his meritorious actions.
metamorphosis,"the change of form, shape, substance",NOUN,Winnifred went to the gym every day for a year and underwent a metamorphosis from a waiflike girl to an athletic woman.
metonymy,Using a related thing to refer to another thing,NOUN,Saying 'Hollywood' for the US film industry is metonymy.
misandry,"dislike of, contempt for, or ingrained prejudice against men (i.e. the male sex).",NOUN,poorly disguised misandry
"misfeasance, ","a transgression, especially the wrongful exercise of lawful authority.Nonfeasance, and malfeasance are types of  failure to discharge public obligations existing by common law, custom, or statute.",NOUN,The Carta de Logu caused Eleanor of Arborea to be remembered as one of the first lawmakers to set up the crime of misfeasance.
misoneism,A hatred or fear of change or innovation,NOUN,The town's misoneism made it slow to adopt new technology.
mizzle,To rain very lightly,VERB,It started to mizzle in the morning.
monition,A warning meant to guide or correct,NOUN,He received a monition for his safety.
morass,"a wet swampy bog; figuratively, something that traps and confuses",NOUN,"When Theresa lost her job, she could not get out of her financial morass."
multifarious,having great diversity or variety,ADJ,This Swiss Army knife has multifarious functions and capabilities.
nadir,the lowest point of something,NOUN,"My day was boring, but the nadir came when accidentally spilled a bowl of spaghetti on my head."
numinous,"The powerful, personal feeling of being overwhelmed and inspired",ADJ,The numinous beauty of the sunset left her speechless.
obfuscate,"render obscure, unclear, or unintelligible.",VERB,"the spelling changes will deform some familiar words and obfuscate their etymological origins; They artfully obfuscated their strategy, leaving their competitors astounded and intrigued."
obstreperous,"noisy, unruly",ADJ,Billy's obstreperous behavior prompted the librarian to ask him to leave the reading room.
obumbrate,To overshadow,VERB,Her achievements could not obumbrate his own struggles.
obviate,to prevent; to make unnecessary,VERB,I tried to obviate my mother's awkwardness with the cell phone by telling her it wasn't necessary to hold it up to her mouth when she speaks into it.
opprobrium,shameful act; public disgrace,NOUN,"While my actions were inappropriate, I do not consider them an opprobrium which will ruin my reputation."
palimpsest,"Something reused or altered but still bearing visible traces of its earlier form, often used metaphorically",NOUN,"The city was a palimpsest of cultures, with historical landmarks preserving layers of the past."
palindrome,A word or phrase that reads the same backward.,NOUN,Racecar is a famous palindrome word.
paradigm,An example that is a perfect pattern or model,NOUN,"Because the new SUV was so popular, it became the paradigm upon which all others were modeled."
paragon,a model of excellence or perfection,NOUN,The mythical Helen of Troy was considered a paragon of female beauty.
paronymous,Coming from the same word origin,ADJ,"We may remark that the passage respecting cupiditas and cupidus is also an example of another fallacy already noticed, that of Paronymous Terms."
paroxysm,a sudden attack or violent expression of a particular emotion or activity,NOUN,a paroxysm of weeping
pasquinade,A satirical writing or public criticism.,NOUN,The newspaper published a humorous pasquinade about politics.
pathos,an emotion of sympathy,NOUN,"Martha filled with pathos upon discovering the scrawny, shivering kitten at her door."
peccadillo,minor sin or offense,NOUN,"Unless you're perfect, you should never complain about a peccadillo of someone else."
pedant,someone who shows off learning,ADJ,"Rambling on and on, the pedant never knew when to stop discussing any issue that entered his mind."
pellucid,"easily intelligible, clear",ADJ,"Wishing his book to be pellucid to the common man, Albert Camus avoided using complicated grammar when composing The Stranger."
penitent,"remorseful, regretful",ADJ,The jury's verdict may have been more lenient if the criminal had appeared penitent for his gruesome crimes.
peradventure,Perhaps; possibly; by chance,ADV,"We might, peradventure, find a better solution."
peregrinate,"to journey or travel from place to place, especially on foot",VERB,A couple of backpacking college students who decided to spend the summer peregrinating around Ireland.
pernicious,extremely destructive or harmful,ADJ,The new government feared that the Communist sympathizers would have a pernicious influence on the nation's stability.
persiflage,"Light, playful conversation",NOUN,Their dinner was filled with cheerful persiflage.
perspicacious,able to judge quickly and correctly what people and situations are really like,ADJ,The perspicacious salesman earned a great living because he knew how to read his customers.
perspicacity,"shrewdness, perceptiveness",ADJ,The detective was too humble to acknowledge that his perspicacity was the reason for his professional success.
pertinacity,Sticking to something firmly.,NOUN,His pertinacity helped him achieve his goals.
phlegmatic,"uninterested, unresponsive",ADJ,Monique feared her dog was ill after the animal's phlegmatic response to his favorite chew toy.
platitude,"an uninspired remark, cliché",NOUN,"After reading over her paper, Helene concluded that what she thought were profound insights were actually just platitudes."
pleonasm,The use of more words than necessary,NOUN,"His speech was filled with pleonasm, making it lengthy and tedious."
pluperfect,Shows an action happened before another past action.,ADJ,He had left before she arrived.
pococurante,Indifferent or nonchalant,ADJ,She was weirdly pococurante when she received the phone call with bad news.
poesy,Written or spoken expressions in creative form,NOUN,She shared her poesy at the open mic night.
polemic,an aggressive argument against a specific opinion,NOUN,The newspaper published the politician's polemic against the new rail system.
potable,suitable for drinking,ADJ,During sea voyages it is essential that ships carry a supply of potable water because salty ocean water makes anyone who drinks it sick.
predilection,a preference or inclination for something,NOUN,"Francois has a predilection for eating scrambled eggs with ketchup, though I prefer to eat eggs without any condiments."
prehensible,Able to be understood or grasped,ADJ,The concept was finally prehensible to him.
prelapsarian,Relating to a time before trouble began,ADJ,The garden was a prelapsarian paradise.
preponderance,superiority in importance or quantity,ADJ,Britain's preponderance of naval might secured the nation's role as a military power.
prevaricate,to lie or deviate from the truth,VERB,Government officials prevaricated about the real costs of the project.
propagate,"to multiply, spread out",VERB,Rumors of Paul McCartney's demise propagated like wildfire throughout the world.
propitiate,to conciliate; to appease,VERB,"By doing his community service without incident, Harry hoped to quickly propitiate his sentence."
prosaic,"plain, lacking liveliness",ADJ,Heather's prosaic recital of the poem bored the audience.
prosody,Study of poetic meter and rhyme,NOUN,Prosody is an important aspect of understanding and analyzing poetry.
protean,able to change shape; displaying great variety,ADJ,Among Nigel's protean talents was his ability to touch the tip of his nose with his tongue.
punctilious,eager to follow rules or conventions,ADJ,"Punctilious Bobby, hall monitor extraordinaire, insisted that his peers follow the rules."
querulous,"Complaining, irritable",ADJ,The querulous customer made a fuss over a small mistake in her order.
quidditative,Relating to the essence of a thing,ADJ,This philosophical query is quidditative in nature.
quiddity,The essential nature of something,NOUN,Philosophers debate the quiddity of reality.
quiescent,inactive; quiet,ADJ,a group of quiescent loungers recovering from the Thanksgiving feast
quockerwodger,A puppet-like individual,NOUN,"Politically, he was considered a quockerwodger."
quotidian,Daily,ADJ,"Bored with his quotidian gym routine, he started trying new workout formats."
rectitude,"uprightness, extreme morality",NOUN,The priest's rectitude gave him the moral authority to counsel his parishioners.
redoubtable,Formidable,ADJ,The fortress looked redoubtable set against a stormy sky.
remonstrate,"to say or plead in protest, reproof, or opposition;",VERB,He got angry when I politely remonstrated with him about littering.
repose,"to rest, lie down",VERB,"The cat, after eating an entire can of tuna fish, reposed in the sun and took a long nap."
restive,"resistant, stubborn, impatient",ADJ,The restive audience pelted the band with mud and yelled nasty comments.
ribald,"coarsely, crudely humorous",ADJ,"While some giggled at the ribald joke involving a parson's daughter, most sighed and rolled their eyes."
sagacious,intelligent; showing good judgment,ADJ,"When Jane needs advice, she goes to her sagacious friend.; The sagacious advice of the elder helped me to avoid mistakes."
sagacity,"shrewdness, soundness of perspective",NOUN,"With remarkable sagacity, the wise old man predicted and thwarted his children's plan to ship him off to a nursing home.; The CEO's sagacity helped her lead the company to success."
salubrious,Something that is healthy for the mind or body,ADJ,Living in a salubrious neighborhood with well-maintained parks and clean streets can contribute to a healthier and happier lifestyle.
sanctimonious,Giving a hypocritical appearance of piety,ADJ,"The sanctimonious Bertrand delivered stern lectures on the Ten Commandments to anyone who would listen, but thought nothing of stealing cars to make some cash on the side."
sanguine,"optimistic, cheery",ADJ,"Polly reacted to any bad news with a sanguine smile and the chirpy cry, ""When life hands you lemons, make lemonade!"
sartorial,Relating to clothing or style of dress.,ADJ,He has a keen sartorial sense for fashion.
scripturient,Possessing a violent desire to write,ADJ,The scripturient author published multiple novels a year.
scurrilous,"Vulgar, coarse",ADJ,"When Bruno heard the scurrilous accusation being made about him, he could not believe it because he always tried to be nice to everyone."
sedulously,With careful and constant effort,ADV,She sedulously completed her homework.
semaphore,a visual signal,NOUN,Anne and Diana communicated with a semaphore involving candles and window shades.
sententiously,Using few words in a meaningful way,ADV,He spoke sententiously during the meeting.
seraphic,"Angelic, sweet",ADJ,The child's seraphic voice matched her innocent appearance.
sesquipedalian,Using long and complex words,ADJ,His sesquipedalian speech impressed the audience.
simulacrum,An image or representation of something.,NOUN,The statue was a simulacrum of the hero.
sobriquet,nickname,NOUN,"Because Laura was so small, her father referred to her by the sobriquet of Half-pint."
solipsistic,believing that oneself is all that exists,ADJ,Colette's solipsistic attitude completely ignored the plight of the homeless people on the street.
somnolent,sleepy; drowsy.; causing or suggestive of drowsiness:,ADJ,A somnolent summer day.
specious,"seems correct or true, but actually wrong or false; deceptive",ADJ,Several weight loss products on the market make specious claims as to their effectiveness.
spurious,false but designed to seem plausible,ADJ,"Using a spurious argument, John convinced the others that he had won the board game on a technicality."
staid,"sedate, serious, self-restrained",ADJ,The staid butler never changed his expression no matter what happened.
stentorian,extremely loud,ADJ,"When my father speaks in a stentorian voice, I know I'm in trouble."
stolid,"expressing little sensibility, unemotional",ADJ,Charles's stolid reaction to his wife's funeral differed from the passion he showed at the time of her death.
subaqueous,"existing, formed, or taking place underwater; lacking in substance or strength.",ADJ,"their larvae have to pass through a wholly subaqueous phase; the light that filtered through the leaves was pale, subaqueous"
surfeit,an overabundant supply or indulgence,NOUN,"After partaking of the surfeit of tacos and tamales at the All-You-Can-Eat Taco Tamale Lunch Special, Beth felt rather sick."
synecdoche,A figure of speech that uses a part to represent the whole or vice versa,NOUN,"All hands on deck"" exemplified the synecdoche of teamwork and collaboration."
syntagmatic,Related to a sequence of words.,ADJ,Syntagmatic analysis studies word order.
tessellation,Repeating shapes to create pattern,NOUN,The tessellation in the painting added another dimension to the artwork.
tinct,To add a light color to something,VERB,She tincts the water with blue dye.
torpid,"lethargic, dormant, lacking motion",ADJ,"The torpid whale floated, wallowing in the water for hours."
transgress,"to violate, go over a limit",VERB,The criminal's actions transgressed morality and human decency.
trite,"not original, overused",ADJ,"Keith thought of himself as being very learned, but everyone else thought he was trite because his observations about the world were always the same as David Letterman's.; The author's trite plot and one-dimensional characters did not win over the literary critics."
turpitude,"Depravity, moral corruption",NOUN,pictorial advertisements for chic clothing and fragrances in which drug addiction and other forms of moral turpitude are depicted as alternative fashion statements
tyro,beginner; novice,NOUN,"Julie is a good violinist, but at 13, she is a tyro and still has a lot to learn."
upbraid,to criticize or scold severely,VERB,The last thing Lindsay wanted was for Lisa to upbraid her again about missing the rent payment.
veneer,"a superficial or deceptively attractive appearance, facade",NOUN,"Thanks to her Chanel makeup, Shannen was able to maintain a veneer of perfection that hid the flaws underneath."
venerate,to regard with respect or to honor,VERB,"The tribute to John Lennon sought to venerate his music, his words, and his legend."
veridical,Truthful or corresponding to reality.,ADJ,Her veridical account helped clarify the situation.
verisimilitude,The appearance of being true or real,NOUN,The author's attention to detail gave the story a sense of verisimilitude.
vestigia,Traces or remnants of something that existed.,NOUN,The archaeologists found vestigia of ancient civilizations.
vicissitude,event that occurs by chance,NOUN,The vicissitudes of daily life prevent me from predicting what might happen from one day to the next.
vindicate,to avenge; to free from allegation; to set free,VERB,The attorney had no chance of vindicating the defendant with all of the strong evidence presented by the state.
vitriolic,having a caustic quality,ADJ,"When angry, the woman would spew vitriolic insults."
vociferous,"loud, boisterous",ADJ,I'm tired of his vociferous whining so I'm breaking up with him.
weltschmerz,A feeling of melancholy and world-weariness,NOUN,The poet's works often reflected a deep weltschmerz.
winsome,"Charming, pleasing",ADJ,"After such a long, frustrating day, I was grateful for Chris's winsome attitude and childish naivete."
